epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,34.0926,0.7141,0.73807,1.03721,0.85222,0.48948,0.68867,0.38781,1.81412,2.05892,1.46973,2.96948e-05,2.96948e-05,2.96948e-05
58,34.5187,0.67875,0.96641,1.1494,0.85222,0.48948,0.68867,0.38781,1.81412,2.05892,1.46973,2.95535e-05,2.95535e-05,2.95535e-05
59,34.9306,0.83029,1.2009,1.17759,0.85222,0.48948,0.68867,0.38781,1.81412,2.05892,1.46973,2.93887e-05,2.93887e-05,2.93887e-05
60,35.4034,1.04371,1.22491,1.35584,0.86127,0.48523,0.58044,0.30358,1.82541,2.11126,1.47921,2.92003e-05,2.92003e-05,2.92003e-05
61,35.8375,0.99785,1.7892,1.35256,0.86127,0.48523,0.58044,0.30358,1.82541,2.11126,1.47921,2.89884e-05,2.89884e-05,2.89884e-05
62,36.2831,1.02504,1.629,1.4004,0.86127,0.48523,0.58044,0.30358,1.82541,2.11126,1.47921,2.87529e-05,2.87529e-05,2.87529e-05
63,36.7837,1.03012,1.23746,1.47298,0.79554,0.41539,0.52828,0.30725,1.80611,2.1694,1.45222,2.84938e-05,2.84938e-05,2.84938e-05
64,37.2204,0.83726,0.99847,1.16592,0.79554,0.41539,0.52828,0.30725,1.80611,2.1694,1.45222,2.82112e-05,2.82112e-05,2.82112e-05
65,37.6418,0.78161,1.30937,1.13518,0.79554,0.41539,0.52828,0.30725,1.80611,2.1694,1.45222,2.7905e-05,2.7905e-05,2.7905e-05
66,38.1166,1.24533,1.75801,1.48234,0.7934,0.41396,0.52273,0.29246,1.85278,2.1919,1.47526,2.75753e-05,2.75753e-05,2.75753e-05
67,38.5626,0.73157,0.78672,1.16599,0.7934,0.41396,0.52273,0.29246,1.85278,2.1919,1.47526,2.7222e-05,2.7222e-05,2.7222e-05
68,39.0055,0.80258,1.02506,1.12321,0.7934,0.41396,0.52273,0.29246,1.85278,2.1919,1.47526,2.68451e-05,2.68451e-05,2.68451e-05
69,39.479,0.82219,1.35183,1.22638,0.8772,0.39309,0.53846,0.28168,1.83934,2.23809,1.46699,2.64447e-05,2.64447e-05,2.64447e-05
70,39.9063,0.89499,1.22327,1.38643,0.8772,0.39309,0.53846,0.28168,1.83934,2.23809,1.46699,2.60207e-05,2.60207e-05,2.60207e-05
71,40.3469,0.72978,1.22617,1.23783,0.8772,0.39309,0.53846,0.28168,1.83934,2.23809,1.46699,2.55731e-05,2.55731e-05,2.55731e-05
72,40.809,0.67832,0.7289,1.11603,0.85886,0.38117,0.55198,0.27962,1.84527,2.27518,1.46783,2.5102e-05,2.5102e-05,2.5102e-05
73,41.2346,0.70241,1.07632,1.23558,0.85886,0.38117,0.55198,0.27962,1.84527,2.27518,1.46783,2.46073e-05,2.46073e-05,2.46073e-05
74,41.679,1.22162,1.16226,1.56102,0.85886,0.38117,0.55198,0.27962,1.84527,2.27518,1.46783,2.40891e-05,2.40891e-05,2.40891e-05
75,42.1357,0.83102,1.46735,1.20388,0.85903,0.38034,0.55286,0.28933,1.82743,2.29852,1.46472,2.35472e-05,2.35472e-05,2.35472e-05
76,42.5693,0.72157,1.18859,1.15176,0.85903,0.38034,0.55286,0.28933,1.82743,2.29852,1.46472,2.29819e-05,2.29819e-05,2.29819e-05
77,43.0355,0.95606,1.3248,1.45079,0.85903,0.38034,0.55286,0.28933,1.82743,2.29852,1.46472,2.23929e-05,2.23929e-05,2.23929e-05
78,43.4747,0.83374,0.74971,1.18936,0.86157,0.38303,0.54924,0.24488,1.82176,2.29459,1.4619,2.17805e-05,2.17805e-05,2.17805e-05
79,43.8901,1.25674,1.36643,1.71667,0.86157,0.38303,0.54924,0.24488,1.82176,2.29459,1.4619,2.11444e-05,2.11444e-05,2.11444e-05
80,44.3718,0.80686,0.95138,1.19818,0.86157,0.38303,0.54924,0.24488,1.82176,2.29459,1.4619,2.04848e-05,2.04848e-05,2.04848e-05
81,44.8539,1.3273,1.80321,1.83141,0.86222,0.38624,0.54961,0.24513,1.83244,2.30952,1.46759,1.98016e-05,1.98016e-05,1.98016e-05
